,Name,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Charge2,Charge3,Charge4,Charge5,y
11396,A14-07151_Ratio.28656.28656.2,1968.0659,1,0.071428571,0.005,14,8.874501773,0.0032,7.1905,0.114459155,0.207896978,0.759839417,0.001210561,0.261706824,0.509530156,0.004738725,1,0,0,0,0
5505,A14-07151_Ratio.27799.27799.2,1328.732395,0,0.0,0.003254,9,9.903247127,2.77e-05,5.4818,0.332423766,0.60012897,-0.357863593,0.011207715,0.451738582,0.776634016,0.016571042,1,0,0,0,0
5414,A14-07151_Ratio.26141.26141.2,1435.8453,1,0.125,0.001,8,11.18384415,0.044,6.5416,0.314534405,0.461704408,-0.885136602,0.00844481,0.532714095,0.945893481,0.016748882,1,0,0,0,0
2244,A14-07151_Ratio.09929.09929.3,1799.834982,0,0.0,0.007236,15,10.44970628,0.000277,6.7684,0.658203754,1.089991635,-0.586948575,0.015313914,0.806332733,1.532866954,0.025390844,0,1,0,0,0
9597,A14-07151_Ratio.37996.37996.2,2045.2262,1,0.066666667,0.008,15,9.829578626,0.00017,9.5914,0.239374614,0.381695308,-0.060857426,0.002452589,0.278655861,0.546175467,0.004622266,1,0,0,0,0
1801,A14-07151_Ratio.30604.30604.3,2865.5088,1,0.043478261,0.007,23,10.02445614,1.7e-05,13.8099,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,0,1,0,0,0
8304,A14-07151_Ratio.20116.20116.2,1285.7464,1,0.142857143,0.003,7,12.54671683,0.0044,6.0538,0.253809086,0.366667216,-0.937884672,0.007203639,0.426442549,0.671519591,0.018276457,1,0,0,0,0
11077,A14-07151_Ratio.37905.37905.2,1778.0919,0,0.0,0.005,15,10.1338362,0.036,8.199,0.192243844,0.285127349,-0.954910234,0.002711843,0.36663121,0.600305586,0.015321794,1,0,0,0,0
1201,A14-07151_Ratio.20555.20555.3,1800.034933,1,0.083333333,0.004969,12,14.14275281,0.000521,6.5772,1.255232301,1.699049897,-0.677122545,0.093352778,1.329592992,1.871294554,0.103449992,0,1,0,0,0
4480,A14-07151_Ratio.22658.22658.3,2770.4282,1,0.045454545,0.01,22,11.00217922,9.5e-06,14.8808,0.319919034,0.648992708,-0.837953588,0.006790756,0.417380033,0.777264073,0.013844799,0,1,0,0,0
5176,A14-07151_Ratio.15411.15411.3,1923.0,2,0.153846154,0.007,13,10.17291353,0.0069,8.2276,0.315468553,0.667904161,0.475723357,0.005162718,0.344816659,0.715233348,0.005791301,0,1,0,0,0
6695,A14-07151_Ratio.22389.22389.2,1537.8814,1,0.1,0.006,10,9.978923279,0.0067,6.8622,0.182221096,0.311983413,0.297493447,0.001726961,0.325638256,0.600278823,0.005998467,1,0,0,0,0
10992,A14-07151_Ratio.23043.23043.2,1606.9227,1,0.090909091,0.004,11,11.48333149,0.0012,8.54,0.184747457,0.297659929,-0.324337235,0.003171817,0.187426487,0.305161151,0.003171817,1,0,0,0,0
4547,A14-07151_Ratio.12065.12065.2,1604.7625,3,0.333333333,0.005,9,12.07316187,0.0063,8.0849,0.380449715,0.649222382,-0.988011635,0.017622815,0.533725936,0.836136022,0.027385495,1,0,0,0,0
7700,A14-07151_Ratio.20621.20621.3,1803.127035,2,0.2,0.004344,10,13.95358241,0.00309,5.9115,0.119633318,0.207283557,0.937281785,0.000713439,0.197094917,0.370522844,0.002785021,0,1,0,0,0
11283,A14-07151_Ratio.10589.10589.3,1588.829184,0,0.0,0.003229,11,11.2124773,0.0032,6.6071,0.277228861,0.573100327,0.598728499,0.001473812,0.332636925,0.653391134,0.004991555,0,1,0,0,0
2362,A14-07151_Ratio.35004.35004.2,1525.895359,1,0.111111111,0.004348,9,10.23812939,5.38e-06,4.0193,0.352018418,0.621119227,0.038503664,0.011954365,0.494064999,0.846971606,0.019616061,1,0,0,0,0
5245,A14-07151_Ratio.29659.29659.3,2416.2654,0,0.0,0.006,19,9.632262514,0.0018,9.9206,0.209008652,0.399838255,0.938215926,0.004539628,0.561561647,0.926818002,0.023094324,0,1,0,0,0
9277,A14-07151_Ratio.35155.35155.3,2162.2589,1,0.066666667,0.008,15,10.56140604,9.9e-05,11.3902,0.312343168,0.577895879,0.05993057,0.004631219,0.363235157,0.701425871,0.005830266,0,1,0,0,0
