,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Name,Charge2,Charge3,Charge4,Charge5,y
377,-0.3762071867858062,0.47414510655186437,0.832409573186116,0.7983335434453614,-0.7376462537988198,-0.3832603736412725,0.12853795385599984,-0.08886015986232854,0.7138485988393599,0.8051546560324302,-0.8542281516058486,0.23133101236750192,0.19861359794688024,0.30175577625559663,-0.046146089662904864,100104_A549_8plex_IPG400_inj1_4_fr_32.05754.05754.3,0,1,0,0,1
7376,1.4660914113355255,0.47414510655186437,0.029323364733973692,0.7983335434453614,1.1662887330852867,-0.28637381574783743,-0.08060001135338679,-0.36546163019055516,0.0012160747971834147,0.0008608358018606139,0.001328251942365252,0.0033339291076192505,0.0012978759828464303,0.0014390492579177815,0.002384044611913529,100104_A549_8plex_IPG400_inj1_4_fr_36.08076.08076.2,1,0,0,0,0
5213,-0.9792283425835853,-0.8872236484702791,-0.8741486197746862,-0.719105200311044,-0.7376462537988198,1.29864349878109,-0.13283814374011202,-0.6513032641716884,-0.737074683696614,-0.6857297901512908,0.24011741290576097,-0.27982656009778734,-0.839959158122046,-0.8642731452747541,-0.2480928884616181,100104_A549_8plex_IPG400_inj1_4_fr_35.04767.04767.2,1,0,0,0,0
5282,0.7993480669996341,0.47414510655186437,0.22292450427154334,1.0734810944438034,0.45231311300374677,-0.8690141068799304,-0.13260565203545427,1.08580978762103,-0.7664670075717102,-0.8073246869414759,0.3732585213173431,-0.33085112253773197,-0.22473631287278076,-0.1957594220888422,-0.2471809897950266,100104_A549_8plex_IPG400_inj1_4_fr_35.08945.08945.3,0,1,0,0,0
9413,0.5138753851952874,0.47414510655186437,0.14978629600179408,-1.4028468645421714,0.6903049863642601,-0.2987991099840082,-0.1273074902501498,0.33486734479237934,0.0012160747971834147,0.0008608358018606139,0.001328251942365252,0.0033339291076192505,0.0012978759828464303,0.0014390492579177815,0.002384044611913529,100104_A549_8plex_IPG400_inj1_4_fr_36.07757.07757.3,0,1,0,0,1
1838,1.6210595282771285,-0.8872236484702791,-0.8741486197746862,-0.5774042115468465,1.8802643531668266,-2.2572258562513534,-0.1328635888592125,2.0451650645148263,0.3000363740843278,0.3806008133603676,0.2797277332304347,-0.08276605286065611,0.09447996824980552,0.16170522707271098,0.16979198968749543,100104_A549_8plex_IPG400_inj1_4_fr_35.10102.10102.3,0,1,0,0,1
5870,0.6908475748303274,0.47414510655186437,0.22292450427154334,3.0925138236703673,0.45231311300374677,0.4895776137504981,-0.13288439547252628,0.8931995191500381,0.0012160747971834147,0.0008608358018606139,0.001328251942365252,0.0033339291076192505,0.0012978759828464303,0.0014390492579177815,0.002384044611913529,100104_A549_8plex_IPG400_inj1_4_fr_34.07413.07413.3,0,1,0,0,0
9896,-0.13766860751570997,-0.8872236484702791,-0.8741486197746862,-0.027109109549963248,0.21432123964323346,-1.8731277231790657,-0.1319782381398261,1.160636255732729,0.014443603948274571,-0.045161062227896794,-0.9480892965949953,0.5209285566641289,-0.3415944646797476,-0.4035933508578804,0.4612803859635907,100104_A549_8plex_IPG400_inj1_4_fr_34.09175.09175.3,0,1,0,0,0
6125,2.029878829357011,0.47414510655186437,-0.17601117719981338,-0.3022566605484049,2.356248099887853,0.36135606524970815,-0.1321873761050355,3.256795666609811,-0.6723499922456114,-0.6582464077197698,0.4902849362900287,-0.33803539607981176,0.0016490485641194339,0.10807967235578927,-0.3139635419944771,100104_A549_8plex_IPG400_inj1_4_fr_36.06656.06656.3,0,1,0,0,1
1547,4.599037381561852,0.47414510655186437,-0.36218116188644606,1.0734810944438034,4.26018308677196,-1.802757050018532,-0.13079312300363957,1.6533066957242242,0.32926457305794643,0.4249820083568426,0.11262849111514339,0.09100391666132499,0.4823807805336491,0.5065680558968629,0.30169228057138875,100104_A549_8plex_IPG400_inj1_4_fr_34.09149.09149.4,0,0,1,0,1
3537,1.0867326423716324,0.47414510655186437,0.22292450427154334,0.52318599244692,0.45231311300374677,0.7130053044843708,-0.12713320861247532,0.8771706638337717,-0.11620663843469096,-0.05617488233377071,0.49318721952623373,-0.3893836782139085,-0.7833948385030322,-0.7552714956376351,-0.5085929830602204,100104_A549_8plex_IPG400_inj1_4_fr_33.07103.07103.3,0,1,0,0,1
10441,1.2147361817907587,0.47414510655186437,0.22292450427154334,1.1502472611723684,0.45231311300374677,1.0743333704836517,-0.1328841087792323,0.5105435990586572,0.28371155967416223,0.41686138649442983,0.01911968162383819,0.036665751662674335,0.24310022838966439,0.36337450422024126,-0.22817219182881593,100104_A549_8plex_IPG400_inj1_4_fr_33.07641.07641.3,0,1,0,0,0
10404,0.6820372920981786,0.47414510655186437,0.14978629600179408,-0.5774042115468465,0.6903049863642601,0.2470584080264025,-0.1327938762041427,0.4319456355784244,-0.1844338588494197,-0.19337704848680512,-0.09032479641960114,0.11771784774514236,-0.1996928676038162,-0.30906396157351973,0.08886019184676194,100104_A549_8plex_IPG400_inj1_4_fr_32.07538.07538.2,1,0,0,0,0
1923,0.8718077900916439,0.47414510655186437,0.3073147445827919,1.0734810944438034,0.21432123964323346,-0.05980977979956219,-0.13173424384708182,2.03422772794608,-0.642300098006745,-0.6400286577808242,0.44619508316450285,-0.3249654982358169,-0.7030222204669111,-0.7117378993084823,-0.39745040138077314,100104_A549_8plex_IPG400_inj1_4_fr_33.08746.08746.3,0,1,0,0,0
7269,-0.6279540319956566,-0.8872236484702791,-0.8741486197746862,-0.8525517625452881,-0.26166250707779315,0.6445194089269879,-0.13173424384708182,0.3033753584651269,-0.7565612742414677,-0.796599354912208,0.48442728765535065,-0.386129302433414,-0.668010672396817,-0.6962658015212717,-0.558878442715404,100104_A549_8plex_IPG400_inj1_4_fr_35.04626.04626.2,1,0,0,0,0
24,0.9082444665358761,0.47414510655186437,0.22292450427154334,0.7983335434453614,0.45231311300374677,-0.0907053696500587,-0.11371352251153967,1.1076844607585226,1.38904402344064,1.555878039575738,0.13882434301637386,-0.08015368778042814,0.14129069077733092,0.3815737073065847,-0.3374068192196595,100104_A549_8plex_IPG400_inj1_4_fr_34.08885.08885.3,0,1,0,0,1
7659,0.20715430870571744,0.47414510655186437,0.5221262653750609,-0.3022566605484049,-0.26166250707779315,0.3611139001286684,-0.12957315153991816,1.026559595381373,0.0012160747971834147,0.0008608358018606139,0.001328251942365252,0.0033339291076192505,0.0012978759828464303,0.0014390492579177815,0.002384044611913529,100104_A549_8plex_IPG400_inj1_4_fr_33.05107.05107.3,0,1,0,0,1
