,Name,Mass,PTMCnt,PTMCntRatio,MassDifferent,PeptideLength,AvgIntensityLog,expect,fval,EucliIntraProtein,ManhattanIntraProtein,PearsonIntraProtein,CosineIntraProtein,EucliIntraProteinPair,ManhattanIntraProteinPair,CosineIntraProteinPair,Charge2,Charge3,Charge4,Charge5,y
3962,A14-07151_Ratio.17343.17343.3,2053.1544,3,0.25,0.006,12,13.4355632,0.0062,9.0609,0.324906002,0.670247848,-0.715261899,0.008729333,0.469638586,0.863846006,0.018556746,0,1,0,0,0
11961,A14-07151_Ratio.18125.18125.2,1289.799412,1,0.142857143,0.003364,7,11.82554705,0.0599,2.8008,0.178899861,0.31068739,0.814275693,0.001332653,0.272629741,0.526317597,0.002833768,1,0,0,0,0
123,A14-07151_Ratio.12159.12159.2,1490.7571,0,0.0,0.004,14,10.73710493,0.0087,8.7549,0.554912483,1.200377397,0.998054235,0.013470348,1.674020164,2.412387672,0.016536045,1,0,0,0,1
1693,A14-07151_Ratio.15378.15378.3,1586.003134,2,0.25,0.001955,8,11.40370848,0.00288,4.8749,0.487104392,0.942468765,-0.865048051,0.023508346,0.549977751,1.055869484,0.025467992,0,1,0,0,0
9870,A14-07151_Ratio.18062.18062.2,1292.6957,0,0.0,0.003,9,11.61877019,0.034,6.2248,0.280637491,0.516066381,-0.193617489,0.004492353,0.387508226,0.784738005,0.014853669,1,0,0,0,0
11108,A14-07151_Ratio.26564.26564.2,1678.9552,3,0.272727273,0.004,11,11.09385715,0.00072,8.5747,0.291112141,0.534074942,-0.839543576,0.009305621,0.460623905,0.784860879,0.025421247,1,0,0,0,0
524,A14-07151_Ratio.23019.23019.3,2421.2506,3,0.176470588,0.007,17,11.75350211,0.0012,9.124,0.562488305,1.056816714,-0.775412089,0.006753209,0.715127886,1.416807628,0.021209141,0,1,0,0,0
6544,A14-07151_Ratio.05471.05471.2,1338.689427,2,0.25,0.003916,8,11.31846755,0.00162,3.4318,0.330605962,0.570702714,-0.941311198,0.011466147,0.462217674,0.753900553,0.019697909,1,0,0,0,0
389,A14-07151_Ratio.29666.29666.2,1355.88596,1,0.125,0.006576,8,11.39936483,0.031,3.5778,0.367342196,0.66400276,0.999539901,0.008361779,1.322772043,1.852762807,0.051680046,1,0,0,0,0
10206,A14-07151_Ratio.29909.29909.3,1831.0812,1,0.083333333,0.005,12,10.16919207,0.003,9.1472,0.225171961,0.363149315,0.187271146,0.002800147,0.443843261,0.799486806,0.013919244,0,1,0,0,0
